segment,buy_races,total_points,stake_yen,payback_yen,profit_yen,roi_pct,hit_rate_pct,manshu_hit_rate_pct
浜名湖,14,37,3700,12540,8840,338.92,14.29,0.0
戸田,11,33,3300,52780,49480,1599.39,18.18,9.09
平和島,11,28,2800,21300,18500,760.71,9.09,9.09
丸亀,9,31,3100,0,-3100,0.0,0.0,0.0
尼崎,9,29,2900,0,-2900,0.0,0.0,0.0
宮島,8,26,2600,0,-2600,0.0,0.0,0.0
若松,8,29,2900,0,-2900,0.0,0.0,0.0
びわこ,6,15,1500,0,-1500,0.0,0.0,0.0
大村,6,19,1900,0,-1900,0.0,0.0,0.0
下関,5,14,1400,0,-1400,0.0,0.0,0.0
児島,5,14,1400,0,-1400,0.0,0.0,0.0
唐津,5,16,1600,0,-1600,0.0,0.0,0.0
常滑,5,17,1700,0,-1700,0.0,0.0,0.0
多摩川,4,12,1200,19110,17910,1592.5,25.0,25.0
鳴門,4,16,1600,13340,11740,833.75,25.0,25.0
住之江,4,15,1500,0,-1500,0.0,0.0,0.0
津,4,13,1300,0,-1300,0.0,0.0,0.0
三国,3,10,1000,0,-1000,0.0,0.0,0.0
芦屋,3,7,700,0,-700,0.0,0.0,0.0
蒲郡,3,13,1300,0,-1300,0.0,0.0,0.0
徳山,2,6,600,0,-600,0.0,0.0,0.0
福岡,2,5,500,0,-500,0.0,0.0,0.0
