segment,watch_races,buy_races,total_points,avg_points,stake_yen,payback_yen,profit_yen,roi_pct,hit_rate_pct,manshu_hit_rate_pct,over5000_hit_rate_pct,max_losing_streak,max_drawdown_yen
若松,13,13,156,12.0,15600,1570,-14030,10.06,7.69,0.0,0.0,7,14030
浜名湖,12,12,144,12.0,14400,20590,6190,142.99,33.33,0.0,16.67,3,4190
平和島,12,12,144,12.0,14400,29300,14900,203.47,25.0,8.33,16.67,7,8400
宮島,11,11,132,12.0,13200,0,-13200,0.0,0.0,0.0,0.0,11,13200
下関,9,9,108,12.0,10800,14890,4090,137.87,33.33,0.0,22.22,3,3600
戸田,9,9,108,12.0,10800,52780,41980,488.7,22.22,11.11,11.11,3,6200
丸亀,8,8,96,12.0,9600,2140,-7460,22.29,12.5,0.0,0.0,4,7460
大村,7,7,84,12.0,8400,0,-8400,0.0,0.0,0.0,0.0,7,8400
蒲郡,6,6,72,12.0,7200,0,-7200,0.0,0.0,0.0,0.0,6,7200
芦屋,6,6,72,12.0,7200,4330,-2870,60.14,33.33,0.0,0.0,2,2950
尼崎,6,6,72,12.0,7200,11160,3960,155.0,50.0,0.0,16.67,2,2400
三国,6,6,72,12.0,7200,0,-7200,0.0,0.0,0.0,0.0,6,7200
徳山,6,6,72,12.0,7200,1000,-6200,13.89,16.67,0.0,0.0,4,6200
びわこ,5,5,60,12.0,6000,0,-6000,0.0,0.0,0.0,0.0,5,6000
児島,5,5,60,12.0,6000,0,-6000,0.0,0.0,0.0,0.0,5,6000
常滑,4,4,48,12.0,4800,3000,-1800,62.5,25.0,0.0,0.0,2,2400
津,4,4,48,12.0,4800,0,-4800,0.0,0.0,0.0,0.0,4,4800
唐津,4,4,48,12.0,4800,2160,-2640,45.0,25.0,0.0,0.0,2,2640
住之江,4,4,48,12.0,4800,1980,-2820,41.25,25.0,0.0,0.0,3,3600
鳴門,4,4,48,12.0,4800,13340,8540,277.92,25.0,25.0,25.0,3,3600
福岡,3,3,36,12.0,3600,0,-3600,0.0,0.0,0.0,0.0,3,3600
多摩川,2,2,24,12.0,2400,19110,16710,796.25,50.0,50.0,50.0,1,1200
